,Survived,Pclass,Age
414,1,2,34.0
415,1,2,18.0
416,0,2,30.0
417,0,3,10.0
418,0,3,21.0
419,0,3,29.0
420,0,3,28.0
421,0,3,18.0
422,0,3,54.0
423,1,2,28.0
424,1,2,19.0
425,0,3,28.0
426,1,3,32.0
427,1,1,28.0
428,1,3,33.0
429,1,2,42.0
430,0,3,17.0
431,0,1,50.0
432,1,1,14.0
433,0,3,21.0
434,1,2,24.0
435,0,1,64.0
436,0,2,31.0
437,1,2,45.0
438,0,3,20.0
439,0,3,25.0
440,1,2,28.0
441,1,3,29.0
442,1,1,4.0
443,1,2,13.0
444,1,1,34.0
445,1,3,5.0
446,1,1,52.0
447,0,2,36.0
448,0,3,28.0
449,0,1,30.0
450,1,1,49.0
451,0,3,24.0
452,1,3,29.0
453,0,1,65.0
454,1,1,41.0
455,1,2,50.0
456,0,3,17.0
457,1,1,48.0
458,0,3,34.0
459,0,1,47.0
460,0,2,48.0
461,0,3,34.0
462,0,3,38.0
463,0,2,21.0
464,0,1,56.0
465,0,3,22.0
466,1,3,0.75
467,0,3,39.0
468,0,3,38.0
469,1,2,33.0
470,1,2,23.0
471,0,3,22.0
472,0,1,40.0
473,0,2,34.0
474,0,3,29.0
475,0,3,22.0
476,1,3,2.0
477,0,3,9.0
478,0,2,37.0
479,0,3,50.0
480,1,3,63.0
481,1,1,25.0
482,0,3,8.0
483,1,1,35.0
484,0,1,58.0
485,0,3,30.0
486,1,3,9.0
487,0,3,19.0
488,0,3,21.0
489,0,1,55.0
490,0,1,71.0
491,0,3,21.0
492,0,3,26.0
493,1,1,54.0
494,0,3,55.0
495,0,1,25.0
496,0,3,24.0
497,0,3,17.0
498,0,3,21.0
499,0,3,21.0
500,0,3,37.0
501,1,1,16.0
502,0,1,18.0
503,1,2,33.0
504,1,1,37.0
505,0,3,28.0
506,1,3,26.0
507,1,3,29.0
508,0,3,66.0
509,1,1,36.0
510,1,1,54.0
511,0,3,24.0
512,0,1,47.0
513,1,2,34.0
514,0,3,30.0
515,1,2,36.0
516,0,3,32.0
517,1,1,30.0
518,0,3,22.0
519,0,3,35.0
520,1,1,44.0
521,0,3,18.0
522,0,3,40.5
523,1,2,50.0
524,0,1,49.0
525,0,3,39.0
526,0,2,23.0
527,1,2,2.0
528,0,3,17.0
529,0,3,17.0
530,1,3,24.0
531,0,3,30.0
532,1,2,7.0
533,0,1,45.0
534,1,1,30.0
535,0,3,69.0
536,1,1,22.0
537,1,1,36.0
538,0,3,9.0
539,0,3,11.0
540,1,2,32.0
541,0,1,50.0
542,0,1,64.0
543,1,2,19.0
544,1,2,27.0
545,0,3,33.0
546,1,2,8.0
547,1,1,17.0
548,0,2,27.0
549,0,3,21.0
550,1,3,22.0
551,1,3,22.0
552,0,1,62.0
553,1,1,48.0
554,0,1,45.0
555,1,1,39.0
556,1,3,36.0
557,0,3,30.0
558,0,3,40.0
559,0,2,28.0
560,0,3,40.0
561,0,3,62.0
562,0,3,24.0
563,0,3,19.0
564,0,3,29.0
565,0,3,28.0
566,1,3,32.0
567,1,2,62.0
568,1,1,53.0
569,1,1,36.0
570,1,3,22.0
571,0,3,16.0
572,0,3,19.0
573,1,2,34.0
574,1,1,39.0
575,0,3,18.0
576,1,3,32.0
577,1,2,25.0
578,1,1,39.0
579,0,2,54.0
580,0,1,36.0
581,0,3,16.0
582,1,1,18.0
583,0,2,47.0
584,1,1,60.0
585,0,3,22.0
586,0,3,22.0
587,0,3,35.0
588,1,1,52.0
589,0,3,47.0
590,0,3,40.0
591,0,2,37.0
592,0,3,36.0
593,1,2,31.0
594,0,3,49.0
595,0,3,18.0
596,1,1,49.0
597,1,2,24.0
598,0,3,42.0
599,0,1,37.0
600,0,3,44.0
601,1,1,35.0
602,0,3,36.0
603,0,3,30.0
604,1,1,27.0
605,1,2,22.0
606,1,1,40.0
607,0,3,39.0
608,0,3,21.0
609,1,3,18.0
610,0,3,22.0
611,0,3,35.0
612,1,2,24.0
613,0,3,34.0
614,0,3,26.0
615,1,2,4.0
616,0,2,26.0
617,0,3,27.0
618,1,1,42.0
619,1,3,20.0
620,0,3,21.0
621,0,3,21.0
622,0,1,61.0
623,0,2,57.0
624,1,1,21.0
625,0,3,26.0
626,0,3,18.0
627,1,1,80.0
628,0,3,51.0
629,1,1,32.0
630,0,1,30.0
631,0,3,9.0
632,1,2,28.0
633,0,3,32.0
634,0,2,31.0
635,0,3,41.0
636,0,3,37.0
637,0,3,20.0
638,1,1,24.0
639,0,3,2.0
640,1,3,32.0
641,1,3,0.75
642,1,1,48.0
643,0,3,19.0
644,1,1,56.0
645,0,3,21.0
646,1,3,23.0
647,0,3,23.0
648,1,2,18.0
649,0,3,21.0
650,1,3,16.0
651,0,3,18.0
652,0,2,24.0
653,0,3,27.0
654,0,3,32.0
655,0,2,23.0
656,0,1,58.0
657,1,1,50.0
658,0,3,40.0
659,0,1,47.0
660,0,3,36.0
661,1,3,20.0
662,0,2,32.0
663,0,2,25.0
664,0,3,49.0
665,0,3,43.0
666,1,1,48.0
667,1,2,40.0
668,0,1,31.0
669,0,2,70.0
670,1,2,31.0
671,0,2,19.0
672,0,3,18.0
673,0,3,24.5
674,1,3,18.0
675,0,3,43.0
676,1,1,36.0
677,0,3,28.0
678,1,1,27.0
679,0,3,20.0
680,0,3,14.0
681,0,2,60.0
682,0,2,25.0
683,0,3,14.0
684,0,3,19.0
685,0,3,18.0
686,1,1,15.0
687,1,1,31.0
688,1,3,4.0
689,1,3,37.0
690,0,3,25.0
691,0,1,60.0
692,0,2,52.0
693,0,3,44.0
694,1,3,19.0
695,0,1,49.0
696,0,3,42.0
697,1,1,18.0
698,1,1,35.0
699,0,3,18.0
700,0,3,25.0
701,0,3,26.0
702,0,2,39.0
703,1,2,45.0
704,1,1,42.0
705,1,1,22.0
706,1,3,4.0
707,1,1,24.0
708,0,1,41.0
709,1,1,48.0
710,0,3,29.0
711,0,2,52.0
712,0,3,19.0
713,1,1,38.0
714,1,2,27.0
715,0,3,33.0
716,1,2,6.0
717,0,3,17.0
718,0,2,34.0
719,0,2,50.0
720,1,1,27.0
721,0,3,20.0
722,1,2,30.0
723,1,3,28.0
724,0,2,25.0
725,0,3,25.0
726,1,1,29.0
727,0,3,11.0
728,0,2,41.0
729,0,2,23.0
730,0,2,23.0
731,0,3,28.5
732,0,3,48.0
733,1,1,35.0
734,0,3,20.0
735,0,3,32.0
736,1,1,45.0
737,0,1,36.0
738,1,1,21.0
739,0,3,24.0
740,1,3,31.0
741,0,1,70.0
742,0,3,16.0
743,1,2,30.0
744,0,1,19.0
745,0,3,31.0
746,1,2,4.0
747,1,3,6.0
748,0,3,33.0
749,0,3,23.0
750,1,2,48.0
751,1,2,0.67
752,0,3,28.0
753,0,2,18.0
754,0,3,34.0
755,1,1,33.0
756,0,3,23.0
757,0,3,41.0
758,1,3,20.0
759,1,1,36.0
760,0,3,16.0
761,1,1,51.0
762,0,1,46.0
763,0,3,30.5
764,0,3,28.0
765,0,3,32.0
766,0,3,24.0
767,0,3,48.0
768,0,2,57.0
769,0,3,29.0
770,1,2,54.0
771,0,3,18.0
772,0,3,20.0
773,1,3,5.0
774,0,3,22.0
775,1,1,43.0
776,1,3,13.0
777,1,1,17.0
778,0,1,29.0
779,0,3,35.0
780,0,3,25.0
781,0,3,25.0
782,1,3,18.0
783,0,3,8.0
784,1,3,1.0
785,0,1,46.0
786,0,3,20.0
787,0,2,16.0
788,0,3,21.0
789,0,1,43.0
790,0,3,25.0
791,0,2,39.0
792,1,1,49.0
793,1,3,31.0
794,0,3,30.0
795,0,3,30.0
796,0,2,34.0
797,1,2,31.0
798,1,1,11.0
799,1,3,0.42
800,1,3,27.0
801,0,3,31.0
802,0,1,39.0
803,0,3,18.0
804,0,2,39.0
805,1,1,33.0
806,0,3,26.0
807,0,3,39.0
808,0,2,35.0
809,0,3,6.0
810,0,3,30.5
811,0,1,39.0
812,0,3,23.0
813,0,2,31.0
814,0,3,43.0
815,0,3,10.0
816,1,1,52.0
817,1,3,27.0
818,0,1,38.0
819,1,3,27.0
820,0,3,2.0
821,0,3,36.0
822,0,3,23.0
823,1,2,1.0
824,1,3,19.0
825,1,1,62.0
826,1,3,15.0
827,1,2,0.83
828,0,3,30.0
829,0,3,23.0
830,0,3,18.0
831,1,1,39.0
832,0,3,21.0
833,0,3,20.0
834,1,3,32.0
835,1,1,29.0
836,0,3,20.0
837,0,2,16.0
838,1,1,30.0
839,0,3,34.5
840,0,3,17.0
841,0,3,42.0
842,0,3,18.0
843,0,3,35.0
844,0,2,28.0
845,1,1,40.0
846,0,3,4.0
847,0,3,74.0
848,0,3,9.0
849,1,1,16.0
850,0,2,44.0
851,1,3,18.0
852,1,1,45.0
853,1,1,51.0
854,1,3,24.0
855,0,3,30.0
856,0,3,41.0
857,0,2,21.0
858,1,1,48.0
859,0,3,14.0
860,0,2,24.0
861,1,2,42.0
862,1,2,27.0
863,0,1,31.0
864,0,3,23.0
865,1,3,4.0
866,0,3,26.0
867,1,1,47.0
868,0,1,33.0
869,0,3,47.0
870,1,2,28.0
871,1,3,15.0
872,0,3,20.0
873,0,3,19.0
874,0,3,23.0
875,1,1,56.0
876,1,2,25.0
877,0,3,33.0
878,0,3,22.0
879,0,2,28.0
880,0,3,25.0
881,0,3,39.0
882,0,2,27.0
883,1,1,19.0
884,0,3,7.0
885,1,1,26.0
886,0,3,32.0
